"ID","LOSSAPPROVALID","LOSSAPPROVALCOMCODE","VEHSERINAME","IS4S","REPAIRTYPE","COMPNAME","REGISTNO","SUMVERILOSS","DC","VERIFYFINALDATE"
"1737273","C2019340116060002506","34011606","长安福特福睿斯","1","2","右后叶子板整形修复(大)","RDEA320190000014581934","300.00","","2019/7/23 17:32:33"
"1737274","C2019330120000004223","33012000","广州本田飞度","1","1","左前门(全喷)","RDDG320190000014416770","400.00","","2019/7/1 21:25:24"
"1737275","C2019510114040000821","51011404","长安之星","0","2","右前车门整形修复(大)","RDFA320190000014460157","80.00","","2019/7/11 16:15:02"
"1737276","C2019310101110022827","31010111","上海通用别克英朗","1","1","右前叶子板(全喷)","RDDC320190000014591865","400.00","","2019/7/30 13:27:18"
"1737277","C2019610100840020524","61010084","沃尔沃亚太S60L","1","3","左后尾灯拆装","RDFA320190000014609200","100.00","","2019/7/29 13:23:35"
"1737278","C2019530191190000822","53012226","宝骏560","0","2","前叶子板（左）","RDDG320190000014445575","50.00","","2019/7/4 16:01:41"
"1737279","C2019460116000000248","46011600","富迪雄狮","0","3","左前车轮拆装","RDDG320190000014175688","250.00","","2019/7/9 9:47:44"
"1737280","C2019330117140013479","33011714","广汽丰田雷凌","0","2","后保险杠修复(大)","RDDC320190000014408658","200.00","","2019/7/2 14:18:18"
"1737281","C2019430104030001608","43010403","奇瑞艾瑞泽GX","1","3","后保险杠拆装(含附件)","RDFA320190000014413775","29.00","","2019/7/3 10:50:07"
"1737282","C2019410100000000773","41019009","北京现代朗动","1","1","后保险杠(全喷)","RDFA320190000014423646","313.50","","2019/7/6 17:31:49"
"1737283","C2019330113100017100","33011310","上海通用雪佛兰赛欧","0","1","引擎盖(全喷)","RDDC320190000014594015","340.00","","2019/7/25 17:33:58"
"1737284","C2019430100310006262","43010031","上海通用凯迪拉克ATS-L","0","1","右倒车镜喷漆","RDDG320190000013673607","100.00","","2019/7/10 14:27:30"
"1737285","C2019340111110002432","34011111","东风日产阳光","1","3","前保险杠拆装(含附件)","RDFA320190000014550709","90.00","","2019/7/19 14:30:37"
"1737286","C2019440100710007167","44010071","上海通用雪佛兰科沃兹","0","1","左前叶子板(全喷)","RDDG320190000014495564","310.00","","2019/7/14 15:02:47"
"1737287","C2019320108050004193","32010805","东南菱致","0","3","后保险杠拆装(含附件)","RDFA320190000014622547","50.00","","2019/7/29 18:15:53"
"1737288","C2019330119200000175","33011920","力帆6系","0","1","右前门(全喷)","RDDC320190000014345925","300.00","","2019/7/8 16:06:02"
"1737289","C2019430101120002435","43010112","广州本田缤智","1","3","左前大灯拆装","RDFA320190000014594144","30.00","","2019/7/25 8:17:15"
"1737290","C2019510108080003054","51010808","东风标致307","0","1","左后门(全喷)","RDFA320190000014469070","252.00","","2019/7/9 15:30:21"
"1737291","C2019220120200000507","22012020","开瑞K50","1","1","右前叶子板(全喷)","RDDC320190000014480765","350.00","","2019/7/10 17:01:05"
"1737292","C2019530113610000419","53011361","上海大众帕萨特","0","2","右前叶子板整形修复(小)","RDDG320190000014458930","89.10","","2019/7/8 17:40:10"
"1737293","C2019640106150003978","64010615","比亚迪F3","0","1","左前叶子板(全喷)","RDFA320190000014618025","200.00","","2019/7/28 10:30:47"
"1737294","C2019150100780009609","15010078","东风风行T5","0","2","左前车门整形修复(小)","RDFA320190000014562077","80.00","","2019/7/21 16:06:59"
"1737295","C2019350200230005729","35020023","上海通用别克君威","0","2","左后车门整形修复(中)","RDEA320190000014626111","450.00","","2019/7/30 15:34:37"
"1737296","C2019500101170015459","50010117","雷克萨斯ES系","1","5","后围板修复","RDFA320190000014556756","550.00","","2019/7/29 9:26:25"
"1737297","C2019210103050002511","21010305","上海大众途观L","0","1","后保险杠(全喷)","RDDG320190000014470206","250.00","","2019/7/8 16:55:22"
"1737298","C2019450103060000986","37010829","欧曼GTL","1","5","直供配件运费","RDDG320190000013927511","1450.00","","2019/7/4 12:31:09"
"1737299","C2019220116170006115","22011617","哈飞路宝","0","1","前保险杠(全喷)","RDDG320190000014541284","237.50","","2019/7/18 16:43:22"
"1737300","C2019530114060002811","53011406","哈弗H6","0","2","右后车门整形修复(小)","RDDG320190000014433480","129.60","","2019/7/3 17:57:01"
"1737301","C2019340118050002597","32010908","上海大众朗逸","1","3","右后安全带拆装","RDDG320190000014406430","130.00","","2019/7/19 17:22:02"
"1737302","C2019330122000002799","33012200","一汽大众捷达","0","1","前保险杠(全喷)","RDDG320190000014478910","300.00","","2019/7/10 8:46:18"
"1737303","C2019140123170000143","14010922","哈弗H6","1","3","右侧侧气囊拆装","RDFA320190000014188230","300.00","","2019/7/8 9:38:40"
"1737304","C2019330117140014097","33011714","东风悦达起亚K3","1","3","水箱框架拆装","RDDG320190000014461438","150.00","","2019/7/8 14:41:30"
"1737305","C2019210190050000135","21010095","中华H530","1","3","排气管后段拆装","RDFA320190000014475929","50.00","","2019/7/11 16:09:42"
"1737306","C2019530111050007022","53011105","远景","1","3","发动机(4缸)拆装","RDDG320190000014526401","600.00","","2019/7/30 11:36:05"
"1737307","C2019330139260001346","33015484","东风日产天籁","1","5","左右尾灯底座钣金","RDFA320190000014568140","300.00","","2019/7/24 14:13:53"
"1737308","C2019370100000011134","37010000","汕德卡C7H","0","1","左侧门壳喷漆","RDFA320190000014566663","500.00","","2019/7/23 14:14:45"
"1737309","C2019530100380022440","53010038","广汽丰田雅力士","1","1","右前叶子板(全喷)","RDDG320190000014482590","360.00","","2019/7/20 16:42:03"
"1737310","C2019320107100004901","32010710","一汽马自达CX-4","1","3","前保险杠拆装(含附件)","RDDC320190000014446163","200.00","","2019/7/9 21:00:53"
"1737311","C2019430100610006460","43010308","全球鹰GX7","0","2","引擎盖整形修复(大)","RDFA320190000014501244","200.00","","2019/7/15 17:33:29"
"1737312","C2019370100000010434","37010000","摩托车","0","5","摩托车定损","RDDC320190000014471786","1300.00","","2019/7/11 16:54:01"
"1737313","C2019310101110022442","31010111","东风日产轩逸","0","41","右前大灯修复","RDDC320190000014594327","200.00","","2019/7/25 15:09:37"
"1737314","C2019110110530011029","11011053","荣威RX5","1","1","行李箱盖(全喷)","RDFA320190000014415311","700.00","","2019/7/5 15:56:31"
"1737315","C2019340105250001818","34010525","BQ5021","0","1","左前叶子板(半喷)","RDFA320190000014423717","150.00","","2019/7/4 8:39:02"
"1737316","C2019530122070005222","53012207","上海通用雪佛兰景程","1","1","左后叶子板(全喷)","RDFA320190000014565606","360.00","","2019/7/22 12:05:12"
"1737317","C2019120100720016563","12010072","帝豪EC","0","1","后保险杠(全喷)","RDDC320190000014518545","300.00","","2019/7/15 17:45:25"
"1733159","C2019370100000010057","37010000","东风标致5008","1","3","前保险杠拆装(含附件)","RDDC320190000014439969","80.00","","2019/7/5 10:50:11"
"1733160","C2019230105080001235","23010508","东风日产骊威","0","1","前保险杠(全喷)","RDFA320190000014584520","250.00","","2019/7/26 16:09:16"
"1733161","C2019610103600000368","61010360","广州本田缤智","0","1","右倒车镜喷漆","RDDG320190000014449809","50.00","","2019/7/8 17:23:14"
"1733162","C2019510112040000822","51011204","长安CX70","0","1","右前叶子板(全喷)","RDFA320190000014441040","206.50","","2019/7/16 9:22:08"
"1733163","C2019450103060001588","45010306","东风雪铁龙C3-XR","1","3","后座椅拆装","RDDG320190000014512396","400.00","","2019/7/16 18:31:57"
"1733164","C2019620100820011318","62010082","上海大众凌渡","1","1","左后叶子板(全喷)","RDFA320190000014627405","600.00","","2019/7/31 12:23:07"
"1733165","C2019430100310014776","43010031","北京汽车E系列新能源","1","41","氟利昂/冷冻油添加","RDEA320190000014537778","128.00","","2019/7/24 9:17:14"
